Candidate Name,Candidate Email,Company,Interview Round,Calendly Link,Added On,Mail Sent Time,TAT (Hours)
Rahul Verma,rahul.verma98@gmail1234.com,Amazon,Round1,https://calendly.com/interview/41540,04 Nov 1:18,,
Rahul Verma,rahul.verma98@gmail1234.com,Amazon,Round2,https://calendly.com/interview/97428,04 Nov 1:18,,
Vivaan Bose,vivaan.bose466@gmail1234.com,Google,Round1,https://calendly.com/interview/85790,04 Nov 0:50,,
Vivaan Bose,vivaan.bose466@gmail1234.com,Google,Round2,https://calendly.com/interview/85510,04 Nov 0:50,,
Vivaan Bose,vivaan.bose466@gmail1234.com,Google,Round3,https://calendly.com/interview/84686,04 Nov 0:50,,
Simran Reddy,simran.reddy663@gmail1234.com,Tesla,Round1,https://calendly.com/interview/54385,02 Nov 23:04,,
Simran Reddy,simran.reddy663@gmail1234.com,Tesla,Round2,https://calendly.com/interview/15662,02 Nov 23:04,,
Simran Reddy,simran.reddy663@gmail1234.com,Tesla,Round3,https://calendly.com/interview/47976,02 Nov 23:04,,
Kunal Bose,kunal.bose76@gmail1234.com,Amazon,Round1,https://calendly.com/interview/70828,02 Nov 15:18,,
Kunal Bose,kunal.bose76@gmail1234.com,Amazon,Round2,https://calendly.com/interview/50241,02 Nov 15:18,,
Kunal Bose,kunal.bose76@gmail1234.com,Amazon,Round3,https://calendly.com/interview/25181,02 Nov 15:18,,
Sanya Bose,sanya.bose275@gmail1234.com,Tesla,Round1,https://calendly.com/interview/52290,04 Nov 1:14,,
Sanya Bose,sanya.bose275@gmail1234.com,Tesla,Round2,https://calendly.com/interview/86943,04 Nov 1:14,,
Aditya Iyer,aditya.iyer652@gmail1234.com,Amazon,Round1,https://calendly.com/interview/30185,03 Nov 17:33,,
Arjun Kapoor,arjun.kapoor851@gmail1234.com,Google,Round1,https://calendly.com/interview/56213,04 Nov 19:00,,
Arjun Kapoor,arjun.kapoor851@gmail1234.com,Google,Round2,https://calendly.com/interview/80991,04 Nov 19:00,,
Arjun Kapoor,arjun.kapoor851@gmail1234.com,Google,Round3,https://calendly.com/interview/88408,04 Nov 19:00,,
Kunal Sharma,kunal.sharma594@gmail1234.com,Open AI,Round1,https://calendly.com/interview/51392,03 Nov 6:15,,
Kunal Sharma,kunal.sharma594@gmail1234.com,Open AI,Round2,https://calendly.com/interview/76696,03 Nov 6:15,,
Sanya Verma,sanya.verma339@gmail1234.com,Google,Round1,https://calendly.com/interview/98375,05 Nov 7:11,,
Sanya Verma,sanya.verma339@gmail1234.com,Google,Round2,https://calendly.com/interview/65481,05 Nov 7:11,,
Sanya Verma,sanya.verma339@gmail1234.com,Google,Round3,https://calendly.com/interview/56318,05 Nov 7:11,,
Sanya Iyer,sanya.iyer341@gmail1234.com,Amazon,Round1,https://calendly.com/interview/46883,05 Nov 3:13,,
Sanya Iyer,sanya.iyer341@gmail1234.com,Amazon,Round2,https://calendly.com/interview/87292,05 Nov 3:13,,
Rhea Iyer,rhea.iyer327@gmail1234.com,Tesla,Round1,https://calendly.com/interview/75776,04 Nov 20:19,,
Rhea Iyer,rhea.iyer327@gmail1234.com,Tesla,Round2,https://calendly.com/interview/89769,04 Nov 20:19,,
Rohan Patel,rohan.patel849@gmail1234.com,Flipkart,Round1,https://calendly.com/interview/68085,04 Nov 13:29,,
Neha Gupta,neha.gupta513@gmail1234.com,Google,Round1,https://calendly.com/interview/50479,05 Nov 13:55,,
Kritika Verma,kritika.verma937@gmail1234.com,Amazon,Round1,https://calendly.com/interview/73859,03 Nov 21:39,,
Rahul Patel,rahul.patel730@gmail1234.com,Tesla,Round1,https://calendly.com/interview/55174,02 Nov 9:02,,
Rahul Patel,rahul.patel730@gmail1234.com,Tesla,Round2,https://calendly.com/interview/18794,02 Nov 9:02,,
Kunal Iyer,kunal.iyer481@gmail1234.com,Open AI,Round1,https://calendly.com/interview/27408,04 Nov 22:31,,
Kunal Iyer,kunal.iyer481@gmail1234.com,Open AI,Round2,https://calendly.com/interview/40002,04 Nov 22:31,,
Kritika Kapoor,kritika.kapoor552@gmail1234.com,Open AI,Round1,https://calendly.com/interview/43918,02 Nov 11:27,,
Kritika Kapoor,kritika.kapoor552@gmail1234.com,Open AI,Round2,https://calendly.com/interview/41345,02 Nov 11:27,,
Rahul Nair,rahul.nair645@gmail1234.com,Tesla,Round1,https://calendly.com/interview/68179,01 Nov 11:31,,
Rahul Nair,rahul.nair645@gmail1234.com,Tesla,Round2,https://calendly.com/interview/48948,01 Nov 11:31,,
Kabir Verma,kabir.verma182@gmail1234.com,Google,Round1,https://calendly.com/interview/88556,04 Nov 8:05,,
Vivaan Patel,vivaan.patel290@gmail1234.com,Flipkart,Round1,https://calendly.com/interview/97185,03 Nov 1:39,,
Vivaan Patel,vivaan.patel290@gmail1234.com,Flipkart,Round2,https://calendly.com/interview/76927,03 Nov 1:39,,
Arjun Nair,arjun.nair658@gmail1234.com,Open AI,Round1,https://calendly.com/interview/72922,04 Nov 20:58,,
Sanya Gupta,sanya.gupta349@gmail1234.com,Amazon,Round1,https://calendly.com/interview/84597,01 Nov 11:32,,
Sanya Gupta,sanya.gupta349@gmail1234.com,Amazon,Round2,https://calendly.com/interview/23187,01 Nov 11:32,,
Vivaan Gupta,vivaan.gupta605@gmail1234.com,Flipkart,Round1,https://calendly.com/interview/12865,03 Nov 2:47,,
Vivaan Gupta,vivaan.gupta605@gmail1234.com,Flipkart,Round2,https://calendly.com/interview/79241,03 Nov 2:47,,
Vivaan Gupta,vivaan.gupta605@gmail1234.com,Flipkart,Round3,https://calendly.com/interview/12914,03 Nov 2:47,,
Simran Bose,simran.bose351@gmail1234.com,Tesla,Round1,https://calendly.com/interview/24142,05 Nov 5:39,,
Rhea Bose,rhea.bose498@gmail1234.com,Google,Round1,https://calendly.com/interview/51708,03 Nov 11:03,,
Rhea Bose,rhea.bose498@gmail1234.com,Google,Round2,https://calendly.com/interview/76403,03 Nov 11:03,,
Rhea Bose,rhea.bose498@gmail1234.com,Google,Round3,https://calendly.com/interview/31412,03 Nov 11:03,,
